Customer ID,Age,Gender,Annual Income,Spending Score
CUST0081,61,Male,58100,94
CUST0035,38,Female,31700,85
CUST0008,27,Male,26100,73
CUST0111,18,Female,61100,79
CUST0092,22,Male,64600,85
CUST0084,57,Male,57500,75
CUST0177,49,Female,99800,30
CUST0182,48,Male,96100,32
CUST0090,47,Female,75000,76
CUST0009,18,Male,27900,79
CUST0014,38,Female,34800,77
CUST0060,59,Female,33800,87
CUST0172,38,Female,87100,30
CUST0132,45,Male,64700,68
CUST0018,27,Female,22200,60
CUST0073,40,Male,58400,77
CUST0176,21,Female,121600,18
CUST0135,18,Male,90000,23
CUST0168,35,Male,73100,36
CUST0184,42,Female,103700,15
CUST0064,35,Male,31500,68
CUST0055,22,Male,25200,74
CUST0108,37,Female,86800,83
CUST0051,46,Female,29700,72
CUST0197,40,Female,96400,14
CUST0059,35,Male,22800,76
CUST0049,35,Female,32100,67
CUST0089,46,Female,65800,85
CUST0022,63,Female,23900,77
CUST0058,38,Female,37000,80
CUST0161,33,Male,99000,14
CUST0193,42,Female,92900,15
CUST0130,62,Male,69600,81
CUST0038,46,Female,23000,63
CUST0158,43,Female,85600,25
CUST0194,56,Male,110400,31
CUST0002,27,Male,21800,81
CUST0053,42,Female,19300,70
CUST0150,30,Male,97500,17
CUST0131,22,Female,70700,87
CUST0152,49,Male,96000,35
CUST0104,43,Female,68000,67
CUST0100,43,Female,77100,84
CUST0117,36,Female,76300,64
CUST0088,30,Female,59100,67
CUST0075,51,Male,60100,75
CUST0122,58,Male,68500,85
CUST0200,39,Male,91000,37
CUST0021,39,Male,26900,72
CUST0189,26,Male,112900,15
CUST0072,51,Female,66500,75
CUST0107,47,Male,67100,88
CUST0015,54,Male,30800,65
CUST0093,18,Male,66800,94
CUST0180,36,Female,77800,42
CUST0103,38,Male,68500,78
